,KIDS_TILE,KIDS_ID,prob,LABEL,model
0,KIDS_40.6_-28.2,KiDSDR4 J024125.836-282454.06,0.9999696016311646,0.0,lens_15_KIDS_40.6_-28.2
1,KIDS_40.6_-28.2,KiDSDR4 J024404.472-280600.34,0.9993137717247008,0.0,lens_15_KIDS_40.6_-28.2
2,KIDS_40.6_-28.2,KiDSDR4 J024259.996-283040.55,0.9998995065689088,0.0,lens_15_KIDS_40.6_-28.2
3,KIDS_40.6_-28.2,KiDSDR4 J024123.867-283025.39,0.9997923970222472,0.0,lens_15_KIDS_40.6_-28.2
4,KIDS_40.6_-28.2,KiDSDR4 J024214.524-275032.31,0.997764527797699,0.0,lens_15_KIDS_40.6_-28.2
5,KIDS_40.6_-28.2,KiDSDR4 J024031.839-275319.85,0.9987355470657348,0.0,lens_15_KIDS_40.6_-28.2
6,KIDS_40.6_-28.2,KiDSDR4 J024204.975-281616.83,0.986403226852417,0.0,lens_15_KIDS_40.6_-28.2
7,KIDS_40.6_-28.2,KiDSDR4 J024320.273-282955.65,0.9977883100509644,0.0,lens_15_KIDS_40.6_-28.2
8,KIDS_40.6_-28.2,KiDSDR4 J024243.829-274344.50,0.9988785982131958,0.0,lens_15_KIDS_40.6_-28.2
9,KIDS_40.6_-28.2,KiDSDR4 J024131.461-284009.00,0.9999328851699828,0.0,lens_15_KIDS_40.6_-28.2
10,KIDS_40.6_-28.2,KiDSDR4 J024353.025-280728.07,0.9957830905914308,0.0,lens_15_KIDS_40.6_-28.2
11,KIDS_40.6_-28.2,KiDSDR4 J024048.990-280505.80,0.8325316905975342,0.0,lens_15_KIDS_40.6_-28.2
12,KIDS_40.6_-28.2,KiDSDR4 J024352.927-283239.07,0.8665721416473389,0.0,lens_15_KIDS_40.6_-28.2
13,KIDS_40.6_-28.2,KiDSDR4 J024220.861-282515.48,0.9716305732727052,0.0,lens_15_KIDS_40.6_-28.2
14,KIDS_40.6_-28.2,KiDSDR4 J024044.078-283825.09,0.9998652935028076,0.0,lens_15_KIDS_40.6_-28.2
15,KIDS_40.6_-28.2,KiDSDR4 J024239.930-282722.13,0.9926466941833496,0.0,lens_15_KIDS_40.6_-28.2
16,KIDS_40.6_-28.2,KiDSDR4 J024019.301-283019.88,0.8363102674484253,0.0,lens_15_KIDS_40.6_-28.2
17,KIDS_40.6_-28.2,KiDSDR4 J024216.442-275306.14,0.9973928928375244,0.0,lens_15_KIDS_40.6_-28.2
18,KIDS_40.6_-28.2,KiDSDR4 J024322.672-281138.69,0.9845112562179564,0.0,lens_15_KIDS_40.6_-28.2
19,KIDS_40.6_-28.2,KiDSDR4 J024426.318-280631.91,0.9999901056289672,0.0,lens_15_KIDS_40.6_-28.2
20,KIDS_40.6_-28.2,KiDSDR4 J024323.620-275404.57,0.9996140003204346,0.0,lens_15_KIDS_40.6_-28.2
21,KIDS_40.6_-28.2,KiDSDR4 J024121.139-281236.76,0.9998772144317628,0.0,lens_15_KIDS_40.6_-28.2
22,KIDS_40.6_-28.2,KiDSDR4 J024303.533-281134.36,0.9925711154937744,0.0,lens_15_KIDS_40.6_-28.2
23,KIDS_40.6_-28.2,KiDSDR4 J024125.898-283014.05,0.8739320039749146,0.0,lens_15_KIDS_40.6_-28.2
24,KIDS_40.6_-28.2,KiDSDR4 J024044.469-280924.23,0.989720344543457,0.0,lens_15_KIDS_40.6_-28.2
25,KIDS_40.6_-28.2,KiDSDR4 J024241.960-280555.61,0.9511001110076904,0.0,lens_15_KIDS_40.6_-28.2
26,KIDS_40.6_-28.2,KiDSDR4 J024358.687-283843.01,0.9993517398834229,0.0,lens_15_KIDS_40.6_-28.2
27,KIDS_40.6_-28.2,KiDSDR4 J024141.435-274903.92,0.999935269355774,0.0,lens_15_KIDS_40.6_-28.2
28,KIDS_40.6_-28.2,KiDSDR4 J024134.795-283004.28,0.9998232126235962,0.0,lens_15_KIDS_40.6_-28.2
29,KIDS_40.6_-28.2,KiDSDR4 J024219.995-280530.40,0.9630799293518066,2.0,lens_15_KIDS_40.6_-28.2
30,KIDS_40.6_-28.2,KiDSDR4 J024405.113-283557.96,0.999943733215332,0.0,lens_15_KIDS_40.6_-28.2
31,KIDS_40.6_-28.2,KiDSDR4 J024052.133-275855.94,0.8961161375045776,0.0,lens_15_KIDS_40.6_-28.2
32,KIDS_40.6_-28.2,KiDSDR4 J024151.573-280559.64,0.9993228912353516,0.0,lens_15_KIDS_40.6_-28.2
33,KIDS_40.6_-28.2,KiDSDR4 J024030.388-283508.57,0.9087018966674804,0.0,lens_15_KIDS_40.6_-28.2
34,KIDS_40.6_-28.2,KiDSDR4 J024231.357-275332.68,0.8014935255050659,0.0,lens_15_KIDS_40.6_-28.2
35,KIDS_40.6_-28.2,KiDSDR4 J024103.621-282810.18,0.9777755737304688,2.0,lens_15_KIDS_40.6_-28.2
36,KIDS_40.6_-28.2,KiDSDR4 J024108.091-281840.98,0.9989830255508424,0.0,lens_15_KIDS_40.6_-28.2
